StationId,StationName,City,State,Latitude,Longitude,observation_count,mean_PM25,median_PM25,max_PM25,min_PM25,nearby_station_count,nearby_station_radius_km,nearest_station_id,nearest_station_distance_km
MH007,Chhatrapati Shivaji Intl. Airport (T2),Mumbai,Maharashtra,19.1008,72.8746,8363,41.911883755130916,24.485,202.45,0.04,1,5.0,MH009,2.1968110641420022
MH008,Colaba,Mumbai,Maharashtra,18.91,72.82,8451,38.29369970086945,21.11,661.31,0.03,0,5.0,MH014,9.32669709688671
MH009,Kurla,Mumbai,Maharashtra,19.0863,72.8888,8537,40.52118866829108,25.12,680.73,0.02,1,5.0,MH007,2.1968110641420022
MH010,Powai,Mumbai,Maharashtra,19.1375,72.9151,9287,32.367457765201166,20.08,219.95,0.03,0,5.0,MH007,5.895622128827977
MH011,Sion,Mumbai,Maharashtra,19.0418,72.8652,8542,41.40372367236104,26.235,313.2,0.17,0,5.0,MH009,5.535003975106014
MH014,Worli,Mumbai,Maharashtra,18.9936,72.8128,8986,36.72196145131357,20.0,533.0,0.08,0,5.0,MH011,7.685697093834409
