Model,horizon,MAE,RMSE,R2,sequence_window_note,MAPE
LSTM,1,5.363371992073073,8.487495750411172,0.2127941332631688,"LSTM uses a 24-hour sequence window; only sequence-aligned test rows with complete history are evaluated, so the LSTM comparison is constrained by the windowed train/validation/test split and may not match the full XGBoost test set one-for-one.",93.45159675951597
LSTM,3,6.858848358800219,9.71206718240678,-0.0343189049855903,"LSTM uses a 24-hour sequence window; only sequence-aligned test rows with complete history are evaluated, so the LSTM comparison is constrained by the windowed train/validation/test split and may not match the full XGBoost test set one-for-one.",125.4689695045113
LSTM,6,8.199805084459557,10.791752207852284,-0.2793517230567486,"LSTM uses a 24-hour sequence window; only sequence-aligned test rows with complete history are evaluated, so the LSTM comparison is constrained by the windowed train/validation/test split and may not match the full XGBoost test set one-for-one.",153.8111455459099
Linear Regression,1,4.128439302863214,9.617120042416884,0.4960802233283289,"LSTM uses a 24-hour sequence window; only sequence-aligned test rows with complete history are evaluated, so the LSTM comparison is constrained by the windowed train/validation/test split and may not match the full XGBoost test set one-for-one.",
Random Forest,1,3.874647089427028,11.275719339514325,0.3072766231254441,"LSTM uses a 24-hour sequence window; only sequence-aligned test rows with complete history are evaluated, so the LSTM comparison is constrained by the windowed train/validation/test split and may not match the full XGBoost test set one-for-one.",
XGBoost,1,4.252722742236627,11.296600623128398,0.3047085657724,"LSTM uses a 24-hour sequence window; only sequence-aligned test rows with complete history are evaluated, so the LSTM comparison is constrained by the windowed train/validation/test split and may not match the full XGBoost test set one-for-one.",
